OTU ID	NONJ024240115	AMXJ034240115	NONN035240123	NONN036240208	NONN023240115	NONN017240115	NONN036240115	NONJ030240115	ANXN003240115	NONN015240208	NONN015240115	NONN041240115	AMXJ005240208	AMXN031240115	AMXJ004240208	NONN035240208	AMXJ005240115	AMXN032240115	AMXJ021240115	AMXN037240208	AMXN027240115	ANXN003240208	AMXJ034240208	AMXN029240115	NONN001240208	AMXN037240115	NONJ030240208	NONN017240208	AMXJ008240208	NONN035240115	NONJ024240208	AMXJ025240208	NONJ013240115	NONJ033240115	NONN010240115	AMXJ008240115	NONJ013240208	NONN001240115	NONN010240208	AMXN027240208	AMXJ004240115	AMXJ011240115	AMXN029240123	NONN023240208	AMXJ026240115	AMXN009240115	AMXJ021240208	AMXJ039240115	AMXJ039240208
e3c8b084939ab76a583ee97a159a5abd	9.0	1557.0	470.0	32.0	39.0	46.0	0.0	64.0	864.0	25.0	7.0	2.0	119.0	252.0	8.0	0.0	45.0	88.0	0.0	445.0	298.0	309.0	63.0	24.0	35.0	210.0	0.0	0.0	487.0	0.0	0.0	29.0	34.0	36.0	0.0	0.0	0.0	0.0	5.0	263.0	460.0	663.0	53.0	0.0	12.0	44.0	100.0	97.0	202.0
e20cf4c2a951459f9a2021280eb48c1c	8.0	557.0	2.0	55.0	150.0	343.0	11.0	151.0	1403.0	48.0	19.0	0.0	125.0	191.0	59.0	52.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	18.0	122.0	399.0	40.0	1.0	8.0	148.0	12.0	4.0	139.0	1.0	0.0	3.0	6.0	5.0	0.0	0.0	21.0	45.0	0.0	0.0	0.0	161.0	66.0	240.0	1.0
33762a2709c7715a259b850f36c36383	8.0	2.0	31.0	0.0	0.0	29.0	0.0	0.0	0.0	8.0	4.0	5.0	3.0	11.0	3.0	0.0	0.0	4.0	2.0	60.0	3.0	20.0	5.0	0.0	24.0	0.0	0.0	0.0	15.0	0.0	53.0	5.0	0.0	3.0	0.0	7.0	59.0	0.0	0.0	0.0	78.0	29.0	8.0	0.0	6.0	49.0	0.0	105.0	0.0
7d79d3287b49aa41c6b29abf8a54bcc7	7.0	21.0	32.0	4.0	33.0	17.0	0.0	13.0	0.0	0.0	21.0	0.0	21.0	315.0	6.0	5.0	66.0	26.0	2.0	31.0	20.0	10.0	16.0	0.0	3.0	37.0	16.0	0.0	14.0	6.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	43.0	114.0	28.0	0.0	2.0	39.0	3.0	37.0	3.0
067ce8bfd60fbb4ec5349df10cdc1d9d	6.0	87.0	177.0	49.0	0.0	3.0	0.0	18.0	42.0	6.0	7.0	0.0	85.0	27.0	0.0	38.0	137.0	29.0	0.0	78.0	21.0	74.0	20.0	13.0	35.0	13.0	0.0	27.0	25.0	0.0	50.0	3.0	2.0	7.0	14.0	8.0	82.0	59.0	0.0	8.0	49.0	3.0	39.0	0.0	5.0	23.0	0.0	37.0	5.0
db09d879f5042159ec7c39525adfefc5	5.0	36.0	212.0	54.0	13.0	0.0	0.0	12.0	37.0	13.0	7.0	15.0	18.0	40.0	5.0	34.0	56.0	70.0	6.0	170.0	91.0	199.0	47.0	0.0	6.0	18.0	0.0	50.0	99.0	0.0	10.0	3.0	0.0	9.0	11.0	27.0	46.0	0.0	0.0	39.0	115.0	7.0	44.0	0.0	0.0	17.0	0.0	90.0	56.0
e3396783410b0e746b3cfc3232f70348	5.0	0.0	5.0	0.0	38.0	17.0	0.0	33.0	0.0	3.0	3.0	9.0	2.0	3.0	0.0	0.0	3.0	2.0	0.0	10.0	11.0	2.0	0.0	69.0	0.0	13.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	14.0	16.0	15.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	3.0
1b6797a81c1194ddd90cbd76a7c3bcfa	5.0	9.0	376.0	0.0	0.0	2.0	0.0	3.0	12.0	9.0	6.0	0.0	31.0	8.0	4.0	0.0	17.0	88.0	0.0	152.0	27.0	207.0	136.0	52.0	3.0	0.0	0.0	8.0	450.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	4.0	31.0	0.0	76.0	0.0	5.0	8.0	6.0	3.0	12.0
81612711b32f685e2a84574b0e9c9e2f	5.0	29.0	124.0	4.0	0.0	3.0	0.0	1.0	0.0	7.0	3.0	0.0	234.0	13.0	0.0	0.0	47.0	27.0	0.0	98.0	0.0	63.0	69.0	0.0	5.0	0.0	12.0	0.0	0.0	0.0	0.0	26.0	0.0	62.0	17.0	52.0	0.0	0.0	0.0	80.0	19.0	3.0	16.0	0.0	3.0	0.0	0.0	0.0	8.0
005d30c41b77722f81b7a17ba2ad9a84	5.0	3.0	30.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	30.0	0.0	74.0	40.0	9.0	9.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	2.0	4.0	0.0	6.0	0.0	0.0	9.0	13.0
